research,24618
project,18360
uncover,103
neuronal,74
network,2209
mechanisms,1689
animals,397
recognize,81
learn,746
odors,7
dynamic,938
environment,1713
early,1186
stages,231
hawkmoth,5
manduca,2
sexta,2
olfactory,10
system,3933
generate,655
odor-specific,1
responses,456
spatiotemporally,7
complex,2131
electrophysiological,16
experiments,1741
conjunction,157
conditioning,31
trials,67
carried,314
determine,1344
features,769
response,1063
fact,262
relevant,893
moth,8
adaptive,412
encoding,50
resculpted,1
learns,12
odor,10
specifically,989
direct,856
measuring,265
high-order,23
dynamical,358
structures,1531
odor-response,1
antennal,1
lobe,10
synaptic,29
centers,502
including,3680
lateral,74
protocerebrum,1
mushroom,1
bodies,122
plasticity-induced,1
shift,197
paradigm,321
facilitate,788
development,5916
computational,2167
theoretical,1499
models,3883
networks,1564
develop,4334
large-scale,600
spiking,7
model,3444
benchmarked,5
mentioned,39
framework,1357
capable,443
analyzing,347
rich,335
dynamics,1954
found,575
br,36674
abundance,185
recent,1448
insects,136
mammals,86
primates,53
humans,379
exhibit,363
brain,527
states,1272
incredibly,10
directly,914
induced,185
stimuli,103
born,23
learning,2933
processes,2901
possessing,30
properties,2755
variety,1208
scales,716
intricacies,6
regimes,157
mystery,18
drive,213
decision,439
making,839
--,406
considerably,44
simpler,67
human,1853
dissimilar,19
investigating,326
link,348
behavior,1729
animal,415
draw,115
conclusions,61
basic,876
cognitive,443
functions,619
,73
intellectual,1607
merit,767
demonstrate,526
key,1749
technology,3556
multifunctional,79
devices,1748
based,2450
antiferromagnetic,6
af,13
semiconductors,144
proposed,4075
combine,335
non-volatile,32
magnetic,927
memory,544
electronic,743
transistor,61
functionality,141
single,863
device,900
resolving,64
current,2286
dichotomy,10
logic,181
circuitry,35
implementations,145
operation,420
utilize,354
phase,1581
transitions,300
combined,522
sup-ps,1
intrinsic,149
magnetization,49
offer,492
thz,97
speeds,75
domains,454
potential,3347
improve,1862
switching,127
characteristics,655
gate-induced,1
coupled,518
realized,110
finally,724
fringing,7
fields,1754
allowing,432
high,4763
density,511
packaging,44
metal-oxide-af-semiconductor,1
field-effect,13
transistors,92
mos,4
fet,7
mobile,668
carriers,63
semiconductor,347
electrostatic,61
gating,18
enable,1860
electrical,514
detection,677
axis,50
collinear,3
materials,4603
time,2602
carrier,96
concentrations,237
expect,117
succession,17
metal-insulator,14
antiferromagneticferromagnetic,1
af-fm,3
structural,895
control,2164
host,433
special,628
interest,1391
fast,339
recording,83
possibility,176
rotate,8
multi-axis,1
means,526
transition,614
torque,44
generated,566
tesla,5
exchange,609
prototype,323
demonstrations,146
focus,1923
nio,5
technologically,60
room,94
temperature,1045
epitaxially,6
grown,108
readily,159
mgo,3
substrates,199
eager,218
proposal,1860
fabricate,101
characterize,532
broader,3805
impact,3943
enabling,564
investigation,569
electrostatically-induced,1
study,5530
fundamental,2390
physics,2394
analysis,3650
student,2690
working,875
involved,890
interdisciplinary,1455
bridging,63
material,1264
science,7301
magnetism,83
pi,2718
developing,1972
graduate,4567
disseminated,634
wider,205
audience,266
nsf-sponsored,29
nanohub,28
org,221
facility,376
purdue,90
university,5276
objective,1166
award,2153
investigate,1438
technologies,1682
achieving,235
ultra-precise,3
coordinate,101
metrology,41
3-dimensional,44
objects,521
micrometer,8
nanometer,81
realize,122
three-axis,2
probing,81
undercuts,1
free-forms,1
critical,1803
dimensions,299
surface,1867
form,1078
scaled,53
sub-100nm,3
approach,2637
consists,234
phases,276
systematic,393
design,4132
prototyping,66
active,1008
reorientable,1
systems,6168
achieve,663
distinguishing,32
features:,6
orientation,154
probe,352
position,178
tip,49
scanning,177
plane,85
actively,312
controlled,444
ii,786
tip-sample,3
interaction,1164
forces,355
axes,12
motion,484
stability,558
analyses,614
stable,402
three-dimensional,256
unknown,256
geometry,1073
large,2800
geometric,582
variation,502
real-time,462
calibration,112
actuation,58
gain,583
compensation,10
thermal,747
drift,35
significantly,826
reduce,758
effect,754
variance,32
simultaneously,335
high-throughput,117
fourth,88
two-axis,2
force,383
sensing,696
schemes,221
precise,276
2-axis,2
deflection,9
important,3800
vertical,182
re-entrant,1
successful,1189
created,396
lay,145
foundation,727
realizing,52
5-axis,1
lead,1536
transformational,66
significant,1909
advanced,1360
instrumentation,530
wide,1170
range,1961
biology,1764
chemistry,1871
medicine,333
create,1216
microfluidic,104
biosensor,32
rapid,664
onsite,12
highly-selective,2
food,579
water,2234
borne,12
bacterial,301
pathogens,149
employ,260
innovative,856
biotin-streptavidin,1
immunoaffinity,2
recognition,281
method,979
real,556
pathogen,96
multiplexed,27
parallel,472
array,489
transformative,509
experimental,1668
tool,787
throughput,193
selectivity,76
sensitivity,376
sensor,569
streptavidin-biotin,1
label,24
free,391
requires,481
universal,146
modification,141
biotin,11
detecting,117
low,1070
cost,1071
cells,1448
multiplexation,1
signals,396
channels,222
yield,461
generalized,102
platform,833
biosensors,55
impacts,2294
multifold,2
drinking,81
safety,443
monitoring,768
environmental,2188
bio-warfare,1
clinical,294
diagnosis,134
provide,5709
training,3110
opportunity,1192
undergraduate,4267
students,12762
aims,1160
lab-on-a-chip,17
bio-nanotechnology,5
related,1828
educational,2077
contribute,1317
motivating,60
k-12,704
pursue,423
engineering,4445
careers,712
akron,12
increasing,946
diversity,949
academics,52
women,1083
school,2627
bridge,303
programs,2005
recruited,171
conduct,715
grant,753
funding,799
modeling,1968
processing,1182
fabrication,377
protocol,84
creation,427
metal,612
matrix,335
composite,237
designed,1192
strength,321
damping,30
effectiveness,373
refers,53
ability,1235
suppress,33
mechanical,925
acoustic,182
vibrations,54
